wave,match,int_corr,samerace,age_o,race_o,age,race,imprace,income,income_num,age_gap
1,0,-0.510,1,22,4.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,-0.510,1,22,4.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,-0.510,1,22,4.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,-0.510,1,22,4.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,1,0.120,0,23,2.000,23.000,4.000,1.000,60,304.00,60304.000,0.000
1,1,0.120,0,23,2.000,23.000,4.000,1.000,60,304.00,60304.000,0.000
1,1,0.120,0,23,2.000,23.000,4.000,1.000,60,304.00,60304.000,0.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.350,0,24,3.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.190,0,25,2.000,23.000,4.000,1.000,60,304.00,60304.000,2.000
1,0,0.190,0,25,2.000,23.000,4.000,1.000,60,304.00,60304.000,2.000
1,0,0.470,0,30,2.000,23.000,4.000,1.000,60,304.00,60304.000,7.000
1,0,0.470,0,30,2.000,23.000,4.000,1.000,60,304.00,60304.000,7.000
1,0,0.030,0,27,2.000,23.000,4.000,1.000,60,304.00,60304.000,4.000
1,0,0.030,0,27,2.000,23.000,4.000,1.000,60,304.00,60304.000,4.000
1,1,0.460,0,28,2.000,23.000,4.000,1.000,60,304.00,60304.000,5.000
1,1,0.460,0,28,2.000,23.000,4.000,1.000,60,304.00,60304.000,5.000
1,0,0.430,0,24,2.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.430,0,24,2.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.190,0,27,2.000,22.000,4.000,2.000,54,620.00,54620.000,5.000
1,0,0.190,0,27,2.000,22.000,4.000,2.000,54,620.00,54620.000,5.000
1,0,0.210,0,22,2.000,22.000,4.000,2.000,54,620.00,54620.000,0.000
1,0,0.210,0,22,2.000,22.000,4.000,2.000,54,620.00,54620.000,0.000
1,0,0.520,1,22,4.000,22.000,4.000,2.000,54,620.00,54620.000,0.000
1,0,0.520,1,22,4.000,22.000,4.000,2.000,54,620.00,54620.000,0.000
1,0,0.520,1,22,4.000,22.000,4.000,2.000,54,620.00,54620.000,0.000
1,0,0.520,1,22,4.000,22.000,4.000,2.000,54,620.00,54620.000,0.000
1,1,-0.460,0,23,2.000,22.000,4.000,2.000,54,620.00,54620.000,1.000
1,1,-0.460,0,23,2.000,22.000,4.000,2.000,54,620.00,54620.000,1.000
1,1,-0.460,0,23,2.000,22.000,4.000,2.000,54,620.00,54620.000,1.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.270,0,24,3.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,0.590,0,25,2.000,22.000,4.000,2.000,54,620.00,54620.000,3.000
1,0,0.590,0,25,2.000,22.000,4.000,2.000,54,620.00,54620.000,3.000
1,0,0.590,0,25,2.000,22.000,4.000,2.000,54,620.00,54620.000,3.000
1,0,0.310,0,30,2.000,22.000,4.000,2.000,54,620.00,54620.000,8.000
1,0,0.310,0,30,2.000,22.000,4.000,2.000,54,620.00,54620.000,8.000
1,0,0.310,0,30,2.000,22.000,4.000,2.000,54,620.00,54620.000,8.000
1,0,0.080,0,27,2.000,22.000,4.000,2.000,54,620.00,54620.000,5.000
1,0,0.080,0,27,2.000,22.000,4.000,2.000,54,620.00,54620.000,5.000
1,1,-0.340,0,28,2.000,22.000,4.000,2.000,54,620.00,54620.000,6.000
1,1,-0.340,0,28,2.000,22.000,4.000,2.000,54,620.00,54620.000,6.000
1,0,-0.160,0,24,2.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.160,0,24,2.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,-0.160,0,24,2.000,22.000,4.000,2.000,54,620.00,54620.000,2.000
1,0,0.300,1,27,2.000,26.000,2.000,4.000,48,652.00,48652.000,1.000
1,0,0.650,1,22,2.000,26.000,2.000,4.000,48,652.00,48652.000,4.000
1,1,-0.150,0,22,4.000,26.000,2.000,4.000,48,652.00,48652.000,4.000
1,1,-0.150,0,22,4.000,26.000,2.000,4.000,48,652.00,48652.000,4.000
1,0,0.170,1,23,2.000,26.000,2.000,4.000,48,652.00,48652.000,3.000
1,0,0.240,0,24,3.000,26.000,2.000,4.000,48,652.00,48652.000,2.000
1,0,0.240,0,24,3.000,26.000,2.000,4.000,48,652.00,48652.000,2.000
1,0,0.240,0,24,3.000,26.000,2.000,4.000,48,652.00,48652.000,2.000
1,0,0.240,0,24,3.000,26.000,2.000,4.000,48,652.00,48652.000,2.000
1,0,0.240,0,24,3.000,26.000,2.000,4.000,48,652.00,48652.000,2.000
1,0,0.240,0,24,3.000,26.000,2.000,4.000,48,652.00,48652.000,2.000
1,0,0.240,0,24,3.000,26.000,2.000,4.000,48,652.00,48652.000,2.000
1,0,0.150,1,25,2.000,26.000,2.000,4.000,48,652.00,48652.000,1.000
1,0,0.410,1,30,2.000,26.000,2.000,4.000,48,652.00,48652.000,4.000
1,0,0.070,1,27,2.000,26.000,2.000,4.000,48,652.00,48652.000,1.000
1,1,0.490,1,28,2.000,26.000,2.000,4.000,48,652.00,48652.000,2.000
1,0,0.080,1,24,2.000,26.000,2.000,4.000,48,652.00,48652.000,2.000
1,0,0.540,0,21,4.000,22.000,2.000,1.000,29,237.00,29237.000,1.000
1,0,0.540,0,21,4.000,22.000,2.000,1.000,29,237.00,29237.000,1.000
1,0,0.180,1,24,2.000,22.000,2.000,1.000,29,237.00,29237.000,2.000
1,0,-0.140,1,25,2.000,22.000,2.000,1.000,29,237.00,29237.000,3.000
1,0,-0.180,1,23,2.000,22.000,2.000,1.000,29,237.00,29237.000,1.000
1,0,0.000,1,21,2.000,22.000,2.000,1.000,29,237.00,29237.000,1.000
1,0,0.370,0,23,4.000,22.000,2.000,1.000,29,237.00,29237.000,1.000
1,0,0.370,0,23,4.000,22.000,2.000,1.000,29,237.00,29237.000,1.000
1,0,0.370,0,23,4.000,22.000,2.000,1.000,29,237.00,29237.000,1.000
1,0,0.210,0,22,4.000,22.000,2.000,1.000,29,237.00,29237.000,0.000
1,0,0.210,0,22,4.000,22.000,2.000,1.000,29,237.00,29237.000,0.000
1,0,0.210,0,22,4.000,22.000,2.000,1.000,29,237.00,29237.000,0.000
1,1,-0.110,1,25,2.000,22.000,2.000,1.000,29,237.00,29237.000,3.000
1,1,0.030,0,26,6.000,22.000,2.000,1.000,29,237.00,29237.000,4.000
1,1,0.030,0,26,6.000,22.000,2.000,1.000,29,237.00,29237.000,4.000
1,1,0.030,0,26,6.000,22.000,2.000,1.000,29,237.00,29237.000,4.000
1,1,0.030,0,26,6.000,22.000,2.000,1.000,29,237.00,29237.000,4.000
1,1,0.030,0,26,6.000,22.000,2.000,1.000,29,237.00,29237.000,4.000
1,1,0.030,0,26,6.000,22.000,2.000,1.000,29,237.00,29237.000,4.000
1,1,0.030,0,26,6.000,22.000,2.000,1.000,29,237.00,29237.000,4.000
1,1,0.030,0,26,6.000,22.000,2.000,1.000,29,237.00,29237.000,4.000
1,1,0.030,0,26,6.000,22.000,2.000,1.000,29,237.00,29237.000,4.000
1,0,0.650,1,26,2.000,22.000,2.000,1.000,29,237.00,29237.000,4.000
1,1,0.610,0,21,4.000,23.000,2.000,1.000,56,580.00,56580.000,2.000
1,1,0.610,0,21,4.000,23.000,2.000,1.000,56,580.00,56580.000,2.000
1,1,0.610,0,21,4.000,23.000,2.000,1.000,56,580.00,56580.000,2.000
1,1,-0.210,1,24,2.000,23.000,2.000,1.000,56,580.00,56580.000,1.000
1,0,-0.040,1,25,2.000,23.000,2.000,1.000,56,580.00,56580.000,2.000
1,1,-0.180,1,23,2.000,23.000,2.000,1.000,56,580.00,56580.000,0.000
1,1,0.080,1,21,2.000,23.000,2.000,1.000,56,580.00,56580.000,2.000
1,1,0.120,0,23,4.000,23.000,2.000,1.000,56,580.00,56580.000,0.000
1,1,0.120,0,23,4.000,23.000,2.000,1.000,56,580.00,56580.000,0.000
1,1,-0.460,0,22,4.000,23.000,2.000,1.000,56,580.00,56580.000,1.000
1,1,-0.460,0,22,4.000,23.000,2.000,1.000,56,580.00,56580.000,1.000
1,1,-0.400,1,25,2.000,23.000,2.000,1.000,56,580.00,56580.000,2.000
1,1,-0.260,0,26,6.000,23.000,2.000,1.000,56,580.00,56580.000,3.000
1,1,-0.260,0,26,6.000,23.000,2.000,1.000,56,580.00,56580.000,3.000
1,1,-0.260,0,26,6.000,23.000,2.000,1.000,56,580.00,56580.000,3.000
1,1,-0.260,0,26,6.000,23.000,2.000,1.000,56,580.00,56580.000,3.000
1,1,-0.260,0,26,6.000,23.000,2.000,1.000,56,580.00,56580.000,3.000
1,1,-0.260,0,26,6.000,23.000,2.000,1.000,56,580.00,56580.000,3.000
1,1,-0.260,0,26,6.000,23.000,2.000,1.000,56,580.00,56580.000,3.000
1,1,-0.260,0,26,6.000,23.000,2.000,1.000,56,580.00,56580.000,3.000
1,1,-0.260,0,26,6.000,23.000,2.000,1.000,56,580.00,56580.000,3.000
1,0,0.170,1,26,2.000,23.000,2.000,1.000,56,580.00,56580.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,1,0.210,0,21,4.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,0,0.320,0,24,2.000,24.000,3.000,3.000,36,782.00,36782.000,0.000
1,0,0.320,0,24,2.000,24.000,3.000,3.000,36,782.00,36782.000,0.000
1,0,0.320,0,24,2.000,24.000,3.000,3.000,36,782.00,36782.000,0.000
1,0,0.320,0,24,2.000,24.000,3.000,3.000,36,782.00,36782.000,0.000
1,0,0.320,0,24,2.000,24.000,3.000,3.000,36,782.00,36782.000,0.000
1,0,0.320,0,24,2.000,24.000,3.000,3.000,36,782.00,36782.000,0.000
1,0,-0.140,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,-0.140,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,-0.140,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,-0.140,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,-0.140,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,-0.140,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,-0.140,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.210,0,23,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.210,0,23,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.210,0,23,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.210,0,23,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.210,0,23,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.210,0,23,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.210,0,23,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,-0.160,0,21,2.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,0,-0.160,0,21,2.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,0,-0.160,0,21,2.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,0,-0.160,0,21,2.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,0,-0.160,0,21,2.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,0,-0.160,0,21,2.000,24.000,3.000,3.000,36,782.00,36782.000,3.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,0.350,0,23,4.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,0,-0.270,0,22,4.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,1,-0.230,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,1,-0.230,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,1,-0.230,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,1,-0.230,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,1,-0.230,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,1,-0.230,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,1,-0.230,0,25,2.000,24.000,3.000,3.000,36,782.00,36782.000,1.000
1,1,-0.010,0,26,6.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,1,-0.010,0,26,6.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,1,-0.010,0,26,6.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,1,-0.010,0,26,6.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,1,-0.010,0,26,6.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,1,-0.010,0,26,6.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,1,-0.010,0,26,6.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,1,-0.010,0,26,6.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,1,-0.010,0,26,6.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,1,-0.010,0,26,6.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
1,1,-0.010,0,26,6.000,24.000,3.000,3.000,36,782.00,36782.000,2.000
